taxid	names	taxids
1008305	Bacteria|Thermotogota|Thermotogae|Thermotogales|Fervidobacteriaceae|Fervidobacterium|Fervidobacterium thailandense	2|200918|188708|2419|1643950|2422|1008305
1008307	Bacteria|Pseudomonadota|Gammaproteobacteria|Cellvibrionales|Cellvibrionaceae|Maricurvus|Maricurvus nonylphenolicus	2|1224|1236|1706369|1706371|1122283|1008307
1008308	Bacteria|Bacillota|Clostridia|Eubacteriales|Fusibacteraceae|Fusibacter|Fusibacter tunisiensis	2|1239|186801|186802|3679999|76008|1008308
1008457	Bacteria|Bacteroidota|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Myroides|Myroides injenensis	2|976|117743|200644|49546|76831|1183151
100884	Bacteria|Bacillota|Erysipelotrichia|Erysipelotrichales|Coprobacillaceae|Coprobacillus|Coprobacillus cateniformis	2|1239|526524|526525|2810280|100883|100884
100886	Bacteria|Bacillota|Erysipelotrichia|Erysipelotrichales|Coprobacillaceae|Catenibacterium|Catenibacterium mitsuokai	2|1239|526524|526525|2810280|135858|100886
1009370	Bacteria|Bacillota|Negativicutes||Acetonemataceae|Acetonema|Acetonema longum	2|1239|909932||3120656|2373|2374
1009682	Bacteria|Pseudomonadota|Betaproteobacteria|Neisseriales|Chitinibacteraceae|Jeongeupia|Jeongeupia sacculi	2|1224|28216|206351|2897177|885864|1009682
1009852	Bacteria|Pseudomonadota|Betaproteobacteria|Burkholderiales|Comamonadaceae|Comamonas|Comamonas testosteroni	2|1224|28216|80840|80864|283|285
1010	Bacteria|Bacteroidota|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Sphingobacterium|Sphingobacterium mizutaii	2|976|117747|200666|84566|28453|1010
1010610	Bacteria|Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales|Methylobacteriaceae|Methylobacterium|Methylobacterium gnaphalii	2|1224|28211|356|119045|407|1010610
1010611	Bacteria|Pseudomonadota|Alphaproteobacteria|Rhodobacterales|Roseobacteraceae|Thalassovita|Thalassovita litoralis	2|1224|28211|204455|2854170|335927|1010611
101070	Bacteria|Bacillota|Bacilli|Caryophanales|Caryophanaceae|Rummeliibacillus|Rummeliibacillus pycnus	2|1239|91061|1385|186818|648802|101070
101383	Bacteria|Bacteroidota|Flavobacteriia|Flavobacteriales|Cryomorphaceae|Cryomorpha|Cryomorpha ignava	2|976|117743|200644|246874|246876|101383
