depth	rep	genomes	intra_pairs	low_edge	high_edge	gap
10	39	160	574	93.3846	94.0070	0.6224
10	40	160	574	93.3846	94.3858	1.0012
10	41	160	574	93.3846	93.9482	0.5636
10	42	160	574	93.3846	94.0634	0.6788
10	43	160	574	93.3846	93.9941	0.6095
10	44	160	574	93.3846	94.4451	1.0605
10	45	160	574	93.3846	93.9941	0.6095
10	46	160	574	93.3846	93.9941	0.6095
10	47	160	574	93.3846	94.4493	1.0647
10	48	160	574	93.3846	93.9575	0.5729
10	49	160	574	93.3846	94.5040	1.1194
15	0	210	1166	93.3846	93.9482	0.5636
15	1	210	1166	93.3846	93.9573	0.5727
15	2	210	1166	93.3846	93.9482	0.5636
15	3	210	1166	93.3846	94.4451	1.0605
15	4	210	1166	93.3846	93.9575	0.5729
15	5	210	1166	93.3846	93.9482	0.5636
15	6	210	1166	93.3846	93.9482	0.5636
15	7	210	1166	93.3846	93.9941	0.6095
15	8	210	1166	93.3846	93.9482	0.5636
15	9	210	1166	93.3846	93.9482	0.5636
15	10	210	1166	93.3846	93.9482	0.5636
15	11	210	1166	93.3846	93.9573	0.5727
15	12	210	1166	93.3846	93.9482	0.5636
15	13	210	1166	93.3846	93.9482	0.5636
15	14	210	1166	93.3846	94.0634	0.6788
15	15	210	1166	93.3846	93.9573	0.5727
15	16	210	1166	93.3846	93.9482	0.5636
15	17	210	1166	93.3846	93.9573	0.5727
15	18	210	1166	93.3846	94.0678	0.6832
15	19	210	1166	93.3846	93.9575	0.5729
15	20	210	1166	93.3846	93.9482	0.5636
15	21	210	1166	93.3846	93.9482	0.5636
15	22	210	1166	93.3846	93.9482	0.5636
15	23	210	1166	93.3846	93.9941	0.6095
15	24	210	1166	93.3846	93.9482	0.5636
15	25	210	1166	93.3846	93.9482	0.5636
15	26	210	1166	93.3846	93.9941	0.6095
15	27	210	1166	93.3846	93.9573	0.5727
15	28	210	1166	93.3846	93.9573	0.5727
15	29	210	1166	93.3846	93.9482	0.5636
15	30	210	1166	93.3846	93.9482	0.5636
15	31	210	1166	93.3846	93.9941	0.6095
15	32	210	1166	93.3846	94.3457	0.9611
15	33	210	1166	93.3846	93.9573	0.5727
15	34	210	1166	93.3846	93.9482	0.5636
15	35	210	1166	93.3846	93.9941	0.6095
15	36	210	1166	93.3846	93.9482	0.5636
15	37	210	1166	93.3846	93.9482	0.5636
15	38	210	1166	93.3846	93.9482	0.5636
15	39	210	1166	93.3846	94.0634	0.6788
15	40	210	1166	93.3846	93.9482	0.5636
15	41	210	1166	93.3846	93.9482	0.5636
15	42	210	1166	93.3846	93.9573	0.5727
15	43	210	1166	93.3846	93.9482	0.5636
15	44	210	1166	93.3846	93.9482	0.5636
15	45	210	1166	93.3846	93.9573	0.5727
15	46	210	1166	93.3846	94.0070	0.6224
15	47	210	1166	93.3846	93.9941	0.6095
15	48	210	1166	93.3846	93.9482	0.5636
15	49	210	1166	93.3846	94.3858	1.0012
20	0	247	1792	93.3846	93.9482	0.5636
20	1	247	1792	93.3846	93.9482	0.5636
20	2	247	1792	93.3846	93.9482	0.5636
20	3	247	1792	93.3846	93.9482	0.5636
20	4	247	1792	93.3846	93.9482	0.5636
20	5	247	1792	93.3846	93.9482	0.5636
20	6	247	1792	93.3846	93.9482	0.5636
20	7	247	1792	93.3846	93.9482	0.5636
20	8	247	1792	93.3846	93.9482	0.5636
20	9	247	1792	93.3846	93.9482	0.5636
20	10	247	1792	93.3846	93.9482	0.5636
20	11	247	1792	93.3846	93.9573	0.5727
20	12	247	1792	93.3846	93.9941	0.6095
20	13	247	1792	93.3846	93.9573	0.5727
20	14	247	1792	93.3846	93.9482	0.5636
20	15	247	1792	93.3846	93.9482	0.5636
20	16	247	1792	93.3846	93.9482	0.5636
20	17	247	1792	93.3846	93.9482	0.5636
20	18	247	1792	93.3846	93.9482	0.5636
20	19	247	1792	93.3846	93.9482	0.5636
20	20	247	1792	93.3846	93.9482	0.5636
20	21	247	1792	93.3846	93.9482	0.5636
20	22	247	1792	93.3846	93.9482	0.5636
20	23	247	1792	93.3846	93.9482	0.5636
20	24	247	1792	93.3846	93.9482	0.5636
20	25	247	1792	93.3846	93.9482	0.5636
20	26	247	1792	93.3846	93.9482	0.5636
20	27	247	1792	93.3846	93.9482	0.5636
20	28	247	1792	93.3846	93.9482	0.5636
20	29	247	1792	93.3846	93.9482	0.5636
20	30	247	1792	93.3846	93.9482	0.5636
20	31	247	1792	93.3846	93.9482	0.5636
20	32	247	1792	93.3846	93.9482	0.5636
20	33	247	1792	93.3846	93.9482	0.5636
20	34	247	1792	93.3846	93.9482	0.5636
20	35	247	1792	93.3846	93.9482	0.5636
20	36	247	1792	93.3846	93.9482	0.5636
20	37	247	1792	93.3846	93.9482	0.5636
20	38	247	1792	93.3846	93.9941	0.6095
20	39	247	1792	93.3846	93.9482	0.5636
20	40	247	1792	93.3846	93.9482	0.5636
20	41	247	1792	93.3846	93.9482	0.5636
20	42	247	1792	93.3846	93.9482	0.5636
20	43	247	1792	93.3846	93.9482	0.5636
20	44	247	1792	93.3846	93.9482	0.5636
20	45	247	1792	93.3846	93.9482	0.5636
20	46	247	1792	93.3846	93.9482	0.5636
20	47	247	1792	93.3846	93.9482	0.5636
20	48	247	1792	93.3846	93.9482	0.5636
20	49	247	1792	93.3846	93.9482	0.5636
30	0	308	3282	93.3846	93.9482	0.5636
30	1	308	3282	93.3846	93.9482	0.5636
30	2	308	3282	93.3846	93.9482	0.5636
30	3	308	3282	93.3846	93.9482	0.5636
30	4	308	3282	93.3846	93.9482	0.5636
30	5	308	3282	93.3846	93.9482	0.5636
30	6	308	3282	93.3846	93.9482	0.5636
30	7	308	3282	93.3846	93.9482	0.5636
30	8	308	3282	93.3846	93.9482	0.5636
30	9	308	3282	93.3846	93.9482	0.5636
30	10	308	3282	93.3846	93.9482	0.5636
30	11	308	3282	93.3846	93.9482	0.5636
30	12	308	3282	93.3846	93.9482	0.5636
30	13	308	3282	93.3846	93.9482	0.5636
30	14	308	3282	93.3846	93.9482	0.5636
30	15	308	3282	93.3846	93.9482	0.5636
30	16	308	3282	93.3846	93.9482	0.5636
30	17	308	3282	93.3846	93.9482	0.5636
30	18	308	3282	93.3846	93.9482	0.5636
30	19	308	3282	93.3846	93.9482	0.5636
30	20	308	3282	93.3846	93.9482	0.5636
30	21	308	3282	93.3846	93.9482	0.5636
30	22	308	3282	93.3846	93.9482	0.5636
30	23	308	3282	93.3846	93.9482	0.5636
30	24	308	3282	93.3846	93.9482	0.5636
30	25	308	3282	93.3846	93.9482	0.5636
30	26	308	3282	93.3846	93.9482	0.5636
30	27	308	3282	93.3846	93.9482	0.5636
30	28	308	3282	93.3846	93.9482	0.5636
30	29	308	3282	93.3846	93.9482	0.5636
30	30	308	3282	93.3846	93.9482	0.5636
30	31	308	3282	93.3846	93.9482	0.5636
30	32	308	3282	93.3846	93.9482	0.5636
30	33	308	3282	93.3846	93.9482	0.5636
30	34	308	3282	93.3846	93.9482	0.5636
30	35	308	3282	93.3846	93.9482	0.5636
30	36	308	3282	93.3846	93.9482	0.5636
30	37	308	3282	93.3846	93.9482	0.5636
30	38	308	3282	93.3846	93.9482	0.5636
30	39	308	3282	93.3846	93.9482	0.5636
30	40	308	3282	93.3846	93.9482	0.5636
30	41	308	3282	93.3846	93.9482	0.5636
30	42	308	3282	93.3846	93.9482	0.5636
30	43	308	3282	93.3846	93.9482	0.5636
30	44	308	3282	93.3846	93.9482	0.5636
30	45	308	3282	93.3846	93.9482	0.5636
30	46	308	3282	93.3846	93.9482	0.5636
30	47	308	3282	93.3846	93.9482	0.5636
30	48	308	3282	93.3846	93.9482	0.5636
30	49	308	3282	93.3846	93.9482	0.5636
50	0	394	6572	93.3846	93.9482	0.5636
50	1	394	6572	93.3846	93.9482	0.5636
50	2	394	6572	93.3846	93.9482	0.5636
50	3	394	6572	93.3846	93.9482	0.5636
50	4	394	6572	93.3846	93.9482	0.5636
50	5	394	6572	93.3846	93.9482	0.5636
50	6	394	6572	93.3846	93.9482	0.5636
50	7	394	6572	93.3846	93.9482	0.5636
50	8	394	6572	93.3846	93.9482	0.5636
50	9	394	6572	93.3846	93.9482	0.5636
50	10	394	6572	93.3846	93.9482	0.5636
50	11	394	6572	93.3846	93.9482	0.5636
50	12	394	6572	93.3846	93.9482	0.5636
50	13	394	6572	93.3846	93.9482	0.5636
50	14	394	6572	93.3846	93.9482	0.5636
50	15	394	6572	93.3846	93.9482	0.5636
50	16	394	6572	93.3846	93.9482	0.5636
50	17	394	6572	93.3846	93.9482	0.5636
50	18	394	6572	93.3846	93.9482	0.5636
50	19	394	6572	93.3846	93.9482	0.5636
50	20	394	6572	93.3846	93.9482	0.5636
50	21	394	6572	93.3846	93.9482	0.5636
50	22	394	6572	93.3846	93.9482	0.5636
50	23	394	6572	93.3846	93.9482	0.5636
50	24	394	6572	93.3846	93.9482	0.5636
50	25	394	6572	93.3846	93.9482	0.5636
50	26	394	6572	93.3846	93.9482	0.5636
50	27	394	6572	93.3846	93.9482	0.5636
50	28	394	6572	93.3846	93.9482	0.5636
50	29	394	6572	93.3846	93.9482	0.5636
50	30	394	6572	93.3846	93.9482	0.5636
50	31	394	6572	93.3846	93.9482	0.5636
50	32	394	6572	93.3846	93.9482	0.5636
50	33	394	6572	93.3846	93.9482	0.5636
50	34	394	6572	93.3846	93.9482	0.5636
50	35	394	6572	93.3846	93.9482	0.5636
50	36	394	6572	93.3846	93.9482	0.5636
50	37	394	6572	93.3846	93.9482	0.5636
50	38	394	6572	93.3846	93.9482	0.5636
50	39	394	6572	93.3846	93.9482	0.5636
50	40	394	6572	93.3846	93.9482	0.5636
50	41	394	6572	93.3846	93.9482	0.5636
50	42	394	6572	93.3846	93.9482	0.5636
50	43	394	6572	93.3846	93.9482	0.5636
50	44	394	6572	93.3846	93.9482	0.5636
50	45	394	6572	93.3846	93.9482	0.5636
50	46	394	6572	93.3846	93.9482	0.5636
50	47	394	6572	93.3846	93.9482	0.5636
50	48	394	6572	93.3846	93.9482	0.5636
50	49	394	6572	93.3846	93.9482	0.5636
0	0	540	17508	93.3846	93.9482	0.5636
