dist_lo	dist_hi	class	mash_pairs	with_ani	coverage	with_ani_af15	coverage_af15	ani_q1	ani_median	ani_q3
0.3050	0.3100	all	2944395	0	0.000000	0	0.000000	nan	nan	nan
0.3050	0.3100	congeneric	18985	0	0.000000	0	0.000000	nan	nan	nan
0.3050	0.3100	inter_genus	2925410	0	0.000000	0	0.000000	nan	nan	nan
0.3100	0.3150	all	3821040	0	0.000000	0	0.000000	nan	nan	nan
0.3100	0.3150	congeneric	19157	0	0.000000	0	0.000000	nan	nan	nan
0.3100	0.3150	inter_genus	3801881	0	0.000000	0	0.000000	nan	nan	nan
0.3100	0.3150	same_species	2	0	0.000000	0	0.000000	nan	nan	nan
0.3200	0.3250	all	5162224	8	0.000002	0	0.000000	81.34	81.75	82.15
0.3200	0.3250	congeneric	18467	0	0.000000	0	0.000000	nan	nan	nan
0.3200	0.3250	inter_genus	5143757	8	0.000002	0	0.000000	81.34	81.75	82.15
0.3250	0.3300	all	7253944	0	0.000000	0	0.000000	nan	nan	nan
0.3250	0.3300	congeneric	16655	0	0.000000	0	0.000000	nan	nan	nan
0.3250	0.3300	inter_genus	7237289	0	0.000000	0	0.000000	nan	nan	nan
0.3350	0.3400	all	10767724	0	0.000000	0	0.000000	nan	nan	nan
0.3350	0.3400	congeneric	13688	0	0.000000	0	0.000000	nan	nan	nan
0.3350	0.3400	inter_genus	10754036	0	0.000000	0	0.000000	nan	nan	nan
0.3500	0.3550	all	17311965	0	0.000000	0	0.000000	nan	nan	nan
0.3500	0.3550	congeneric	10135	0	0.000000	0	0.000000	nan	nan	nan
0.3500	0.3550	inter_genus	17301830	0	0.000000	0	0.000000	nan	nan	nan
0.3700	0.3750	all	34121947	0	0.000000	0	0.000000	nan	nan	nan
0.3700	0.3750	congeneric	6625	0	0.000000	0	0.000000	nan	nan	nan
0.3700	0.3750	inter_genus	34115322	0	0.000000	0	0.000000	nan	nan	nan
